profile,split,kind,source,metric,count,min,p10,p25,median,p75,p90,max,mean
baseline_default,test,false_negative,ground_truth,area,23,22.0,49.8,85.0,153.0,398.75,1054.0,1624.0,345.869565
baseline_default,test,false_negative,ground_truth,circularity,23,0.081948,0.127827,0.212756,0.43905,0.571829,0.668408,0.809059,0.415609
baseline_default,test,false_negative,ground_truth,componentMean,23,3.846694,4.814686,5.82872,7.018127,8.614584,10.685728,14.236364,7.527203
baseline_default,test,false_negative,ground_truth,componentPeak,23,18.0,19.2,27.0,37.0,57.5,75.4,125.0,45.043478
baseline_default,test,false_negative,ground_truth,elongation,23,1.0,1.181482,1.352174,1.793103,2.18421,3.104762,3.545455,1.927642
baseline_default,test,false_negative,ground_truth,fillRatio,23,0.07974,0.127711,0.185107,0.521978,0.643765,0.744176,0.786804,0.442548
baseline_default,test,false_negative,ground_truth,pixelArea,23,31.0,69.0,107.5,188.0,442.5,1123.0,1709.0,391.956522
baseline_default,test,false_negative,ground_truth,ringProminence,23,12.35,14.268035,22.182583,31.402299,52.690635,70.282051,119.313725,39.636762
baseline_default,test,false_positive,predicted,area,181,4.0,4.0,4.0,5.0,6.0,8.0,89.0,6.676796
baseline_default,test,false_positive,predicted,circularity,181,0.00321,0.096748,0.174537,0.292701,0.462399,0.658793,0.857372,0.346865
baseline_default,test,false_positive,predicted,componentMean,181,16.148936,17.333333,18.222222,19.615385,22.666667,32.777778,74.1,22.809823
baseline_default,test,false_positive,predicted,componentPeak,181,17.0,20.0,22.0,25.0,31.0,65.0,152.0,34.596685
baseline_default,test,false_positive,predicted,elongation,181,1.0,1.166667,1.333333,2.0,3.0,4.5,46.0,3.18232
baseline_default,test,false_positive,predicted,fillRatio,181,0.045977,0.142857,0.2,0.25,0.333333,0.375,0.555556,0.259915
baseline_default,test,false_positive,predicted,pixelArea,181,8.0,10.0,10.0,13.0,16.0,21.0,182.0,16.983425
baseline_default,test,false_positive,predicted,ringProminence,181,4.822581,10.625,12.666667,15.916667,24.541667,60.75,143.428571,26.320548
baseline_default,test,true_positive,predicted,area,197,4.0,4.5,6.0,10.5,32.5,169.3,770.5,54.700508
baseline_default,test,true_positive,predicted,circularity,197,0.01872,0.065406,0.094435,0.168441,0.293683,0.457204,0.808518,0.219816
baseline_default,test,true_positive,predicted,componentMean,197,17.6,19.615,22.090909,26.478261,32.928571,38.475056,52.765625,27.892193
baseline_default,test,true_positive,predicted,componentPeak,197,21.0,26.0,35.0,56.0,96.0,148.8,189.0,70.507614
baseline_default,test,true_positive,predicted,elongation,197,1.0,1.07763,1.25,1.5,2.0,3.0,8.0,1.820202
baseline_default,test,true_positive,predicted,fillRatio,197,0.05098,0.116742,0.160714,0.239474,0.309524,0.39085,0.675758,0.24731
baseline_default,test,true_positive,predicted,pixelArea,197,9.0,11.6,14.0,22.0,61.0,235.0,902.0,78.847716
baseline_default,test,true_positive,predicted,ringProminence,197,9.666667,17.504895,26.969697,48.106383,87.733333,140.388454,181.104167,62.658281
baseline_default,train-validation,false_negative,ground_truth,area,27,0.0,15.4,56.5,96.5,432.5,995.9,1334.5,313.5
baseline_default,train-validation,false_negative,ground_truth,circularity,27,0.0,0.099155,0.166799,0.500989,0.617515,0.670737,0.765838,0.410814
baseline_default,train-validation,false_negative,ground_truth,componentMean,27,4.0,5.533452,6.480929,7.528634,9.877896,12.748505,38.666667,9.382478
baseline_default,train-validation,false_negative,ground_truth,componentPeak,27,4.0,19.8,31.5,38.0,54.0,69.2,102.0,44.111111
baseline_default,train-validation,false_negative,ground_truth,elongation,27,1.0,1.0,1.245,1.71875,2.443182,3.333333,5.1,2.014829
baseline_default,train-validation,false_negative,ground_truth,fillRatio,27,0.0,0.085148,0.183142,0.4,0.547986,0.629254,0.714444,0.375288
baseline_default,train-validation,false_negative,ground_truth,pixelArea,27,1.0,26.4,79.0,148.0,474.5,1067.4,1413.0,354.185185
baseline_default,train-validation,false_negative,ground_truth,ringProminence,27,-1.75,14.668338,25.647728,31.0,49.251347,61.817657,94.5,38.225232
baseline_default,train-validation,false_positive,predicted,area,91,4.0,4.0,4.0,4.5,5.5,7.0,211.5,7.291209
baseline_default,train-validation,false_positive,predicted,circularity,91,0.009529,0.11978,0.203294,0.330979,0.535857,0.644916,0.943271,0.376976
